TimeStamp,srcIp,dstIp,srcPort,dstPort,result
2023-06-11 22:50:40.714953,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2404:6800:4002:823::200e,33472,443,BENIGN
2023-06-11 22:50:40.780864,2404:6800:4002:823::200e,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,33472,BENIGN
2023-06-11 22:50:41.510698,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2600:9000:2172:3800:7:7f8e:6d00:93a1,45772,443,BENIGN
2023-06-11 22:50:41.546038,2600:9000:2172:3800:7:7f8e:6d00:93a1,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,45772,BENIGN
2023-06-11 22:50:44.117598,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2001:4860:4860::8844,34894,443,BENIGN
2023-06-11 22:50:44.200233,2001:4860:4860::8844,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,34894,BENIGN
2023-06-11 22:50:44.203643,192.168.43.108,8.8.8.8,59933,53,BENIGN
2023-06-11 22:50:44.203934,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2409:4055:496:ab1e::19,34558,53,BENIGN
2023-06-11 22:50:44.204378,192.168.43.108,8.8.8.8,32840,53,BENIGN
2023-06-11 22:50:44.204567,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2409:4055:496:ab1e::19,47163,53,BENIGN
2023-06-11 22:50:44.204941,192.168.43.108,8.8.8.8,47070,53,BENIGN
2023-06-11 22:50:44.205141,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2409:4055:496:ab1e::19,38513,53,BENIGN
2023-06-11 22:50:44.208441,2409:4055:496:ab1e::19,2409:4055:496:ab1e:6a66:26fb:89ee:6912,53,34558,BENIGN
2023-06-11 22:50:44.209665,2409:4055:496:ab1e::19,2409:4055:496:ab1e:6a66:26fb:89ee:6912,53,47163,BENIGN
2023-06-11 22:50:44.220009,192.168.43.108,8.8.8.8,57302,53,BENIGN
2023-06-11 22:50:44.317287,2409:4055:496:ab1e::19,2409:4055:496:ab1e:6a66:26fb:89ee:6912,53,38513,BENIGN
2023-06-11 22:50:44.328057,8.8.8.8,192.168.43.108,53,59933,BENIGN
2023-06-11 22:50:44.328058,8.8.8.8,192.168.43.108,53,47070,BENIGN
2023-06-11 22:50:44.329165,8.8.8.8,192.168.43.108,53,32840,BENIGN
2023-06-11 22:50:44.369284,8.8.8.8,192.168.43.108,53,57302,BENIGN
2023-06-11 22:50:44.369617,192.168.43.108,8.8.8.8,52721,53,BENIGN
2023-06-11 22:50:44.435430,8.8.8.8,192.168.43.108,53,52721,BENIGN
2023-06-11 22:50:45.094460,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2600:140f:5:99b::11a6,56608,443,BENIGN
2023-06-11 22:50:45.140153,2600:140f:5:99b::11a6,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,56608,BENIGN
2023-06-11 22:50:47.606197,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2001:4860:4860::8888,57087,443,BENIGN
2023-06-11 22:50:47.799350,2001:4860:4860::8888,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,57087,BENIGN
2023-06-11 22:50:47.804073,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2404:6800:4002:81d::2003,42173,443,BENIGN
2023-06-11 22:50:47.932432,2404:6800:4002:81d::2003,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,42173,BENIGN
2023-06-11 22:50:48.413451,2409:4055:496:ab1e:6a66:26fb:89ee:6912,2404:6800:4002:80d::200e,38288,443,BENIGN
2023-06-11 22:50:48.526958,2404:6800:4002:80d::200e,2409:4055:496:ab1e:6a66:26fb:89ee:6912,443,38288,BENIGN
2023-06-11 22:50:49.261406,fe80::da32:e3ff:fe43:e150,2409:4055:496:ab1e:6a66:26fb:89ee:6912,38288,443,BENIGN
2023-06-11 22:50:49.261488,2409:4055:496:ab1e:6a66:26fb:89ee:6912,fe80::da32:e3ff:fe43:e150,38288,443,BENIGN
2023-06-11 22:50:49.450504,fe80::8cb:f09a:6aee:278a,2409:4055:496:ab1e::19,38288,443,BENIGN
2023-06-11 22:50:49.453630,2409:4055:496:ab1e::19,fe80::8cb:f09a:6aee:278a,38288,443,BENIGN
2023-06-11 22:50:52.203678,192.168.43.108,34.237.73.95,41732,443,BENIGN
